"ShNavn";"ReshId"
"Tønsberg";"110734"
"Gjøvik";"108833"
"Kongsvinger Innland";"108698"
"Bodø";"706220"
"Volda";"102583"
"Ullevål";"700399"
"Kristiansand";"100412"
"Kirkenes";"101828"
"Østfold";"108048"
"DNR";"700404"
"Tromsø";"601227"
"Haugesund";"701437"
"Drammen";"103298"
"Mo i Rana";"700789"
"Haukeland";"102954"
"Sandessjøen";"103162"
"Skien";"4205296"
"Stavanger";"105460"
"Førde";"105226"
"Ringerike";"103575"
"Ålesund";"102582"
"Voss";"106026"
"Molde";"103188"
"Trondheim";"107644"
"Arendal";"103719"
"Ahus";"108172"
"Elverum";"108768"
"Flekkefjord";"108383"
"Lillehammer";"111180"
"Betanien";"106843"
"Hammerfest";"101854"
"Bærum";"104736"
"Kongsberg";"104174"
"Harstad";"706129"
"Stord";"701482"
"Stokmarknes";"100460"
"Kongsvinger";"4215373"
"Aleris";"107511"
"Gravdal";"706221"
"Namsos";"105874"
"Narvik";"706130"
"Levanger";"105863"
